company,department,title,salary,currency,gender,race,sexual_orientation,exp_years,country,city,inhouse,nb_jobs,happy_salary,nb_awards_top,nb_awards_inter,nb_awards_local
,Creative - Art Direction,ACD,"90,000",USD,,white,,9,USA,nyc,In-house,,,,,
,Creative - Art Direction,ACD,"190,000",USD,Transgender,White,Non-Binary,22,United States,Miami,External,,,,,
,Creative - Art Direction,ACD,"75,000",USD,Female,White,Heterosexual,4,United States,New York,External,,,,,
Xenopsi,Creative - Art Direction,ACD,135000,USD,Female,Black,Heterosexual,9,United States,New York,In-house,,,,,
,Creative - Art Direction,acd,190000,USD,female,,,8,United States,New York,External,,,,,
Dumbo,Creative - Art Direction,Acd,165000,USD,,White,Heterosexual,6,United States,New York,External,6,,,,
,Creative - Art Direction,ACD,200K,USD,,White,Heterosexual,9,United States,Los Angeles,External,4,Yes,6,6,10+
,Creative - Art Direction,ACD - Art Direction,"$175,000",USD,Female,Asian,,11,USA,New York,External,,,,,
,Creative - Art Direction,ACD art director freelance,$90 an hour,USD,Female,White,Heterosexual,15,USA,Chicago,External,,,,,
VMLY&R,Creative - Art Direction,AD,"55,000",USD,Female,Asian,Cis,4,USA,Kansas City,,,,,,
Facebook,Creative - Art Direction,AD,"166,000",USD,,,,4,USA,SF,In-house,,,,,
,Creative - Art Direction,AD,68K,USD,Female,White,Bisexual,8,United States,PHX,External,,,,,
RGA,Creative - Art Direction,Art Direction Intern,0,USD,Straight,White,Heterosexual,1,United States,New York,In-house,,,,,
Publicis Greece,Creative - Art Direction,Art Director,1100,EUR,Female,Caukasian,,3,Greece,Athens,In-house,,,,,
Publicis Greece,Creative - Art Direction,Art Director,1100,EUR,Female,Caukasian,,3,Greece,Athens,In-house,,,,,
Wunderman Thompson,Creative - Art Direction,Art Director,"60,000",USD,Cis Female,White,Heterosexual,5.5,USA,Atlanta,In-house,,,,,
,Creative - Art Direction,Art Director,"65,000",USD,Female,White,Heterosexual,2.5,USA,Atlanta,External,,,,,
,Creative - Art Direction,Art Director,"$60,000",,Female,White,Heterosexual,5,USA,Atlanta,External,,,,,
,Creative - Art Direction,Art Director,"56,000",,Male,White,Cis,5,USA,Boulder,,,,,,
School,Creative - Art Direction,Art Director,"$40,000",,Male,White,Heterosexual,2,USA,Boulder Colorado,External,,,,,
,Creative - Art Direction,Art director,"80,000",USD,,,,7,USA,Charlotte,,,,,,
TPN,Creative - Art Direction,Art Director,"45,000",USD,Male,White,Heterosexual,1,USA,Chicagi,External,,,,,
FCB CHICAGO,Creative - Art Direction,Art Director,55,,Female,White/Hispanic,Heterosexual,2,USA,Chicago,,,,,,
FCB,Creative - Art Direction,Art Director,"75,000",USD,Female,White,Heterosexual,3,USA,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"50,000",USD,Female,White,Cis,3,USA,Chicago,,,,,,
Energy BBDO,Creative - Art Direction,Art Director,"65,000",USD,Male,White,Heterosexual,1.5,USA,Chicago,External,,,,,
Schafer Condon Carter,Creative - Art Direction,Art Director,"80,000",USD,Female,White,Heterosexual,7,USA,Chicago,External,,,,,
n/a,Creative - Art Direction,Art Director,"41,000",,Female,White,,5,USA,"Cleveland, OH",External,,,,,
TPN,Creative - Art Direction,Art Director,"50,000",,Male,Black,Gay,4,USA,Dallas,,,,,,
Full Service. Big Name Agency,Creative - Art Direction,Art Director,63000,,Male,White,Heterosexual,2.5,USA,Dallas,,,,,,
,Creative - Art Direction,Art Director,"75,000",,Male,White,Gay,4,USA,Detroit,External,,,,,
,Creative - Art Direction,Art director,"€ 24,000",,Queer,White,Queer,2,Ireland,Dublin,External,,,,,
VMLYR,Creative - Art Direction,Art Director,"59,000",USD,Female,White,Heterosexual,4.5,USA,Kansas City,In-house,,,,,
,Creative - Art Direction,Art Director,"£26,500",,Female,Caucasian,Heterosexual,1,UK,London,In-house,,,,,
TBWA\Chiat\Day,Creative - Art Direction,Art Director,"105,000",,Female,,,5,USA,Los Angeles,,,,,,
,Creative - Art Direction,Art Director,"70,000",,Female,Hispanic,Heterosexual,5,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Art Director,75000,,Female,Latina,Heterosexual,5,USA,Los Angeles,External,,,,,
RPA,Creative - Art Direction,Art Director,"90,000",USD,Female,Caucasian,Heterosexual,9,USA,Los Angeles,In-house,,,,,
rpa,Creative - Art Direction,art director,"65,000",USD,female,asian,Heterosexual,5,USA,Los Angeles,In-house,,,,,
RPA,Creative - Art Direction,Art Director,"82,000",USD,Female,,Female,5,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Art Director,68000,USD,Cis Female,Black,Heterosexual,4,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Art Director,"83,000",USD,Female,Hispanic,Heterosexual,6,USA,Los Angeles,External,,,,,
Hiebing,Creative - Art Direction,Art Director,"55,000",USD,Female,White,Heterosexual,7,USA,Madison,In-house,,,,,
,Creative - Art Direction,Art Director,61000,USD,Male,White,Heterosexual,12,Sweden,Malmö,In-house,,,,,
,Creative - Art Direction,Art Director,"50,000",PHP,Male,Asian,Heterosexual,2.5,Philippines,Manila,External,,,,,
Alma DDB,Creative - Art Direction,Art Director,"65,000",USD,F,Hispanic,,6,USA,Miami,In-house,,,,,
the community,Creative - Art Direction,Art Director,"71,000",USD,Woman,Hispanic,Heterosexual,5,USA,Miami,,,,,,
OMC agency,Creative - Art Direction,Art Director,"65,000",USD,Female,,,7,USA,Milwaukee,External,,,,,
,Creative - Art Direction,Art Director,"75,000",USD,Male,White,,8,USA,Minneapolis,External,,,,,
Periscope,Creative - Art Direction,Art Director,"60,000",USD,Female,White,Heterosexual,4,USA,MINNEAPOLIS,External,,,,,
,Creative - Art Direction,Art Director,"65,000",USD,Female,White,,4,USA,Minneapolis,External,,,,,
VaynerMedia,Creative - Art Direction,Art Director,"78,000",,Male,White,Heterosexual,4,USA,New York,,,,,,
,Creative - Art Direction,Art Director,"75,000",,Female,White,Heterosexual,5,USA,New York,External,,,,,
JL,Creative - Art Direction,Art Director,$70 000,,Female,White,Heterosexual,4,USA,New York,,,,,,
vmly&r,Creative - Art Direction,art director,"80,000",,female,white,bi,2.5,USA,New York,External,,,,,
Grey,Creative - Art Direction,Art Director,"85,000",,Female,White,,3,USA,New York,In-house,,,,,
Rauxa,Creative - Art Direction,Art Director,"$60,000",USD,Cis Female,White,Bisexual,4,USA,New York,External,,,,,
Anomaly,Creative - Art Direction,Art Director,"65,000",,Female,Black,,4,USA,New York,In-house,,,,,
,Creative - Art Direction,Art Director,80k,USD,Female,Asian,Heterosexual,3,USA,New York,In-house,,,,,
Freelance,Creative - Art Direction,Art Director,90000,USD,Female,White,Gay,5,USA,New York,Freelance,,,,,
Sapient Razorfish,Creative - Art Direction,Art Director,"75,000",USD,,,,4,USA,New York,,,,,,
Pharma Ad Agency,Creative - Art Direction,Art director,"70,000",,Female,Hispanic,Demisexual,2,USA,New York,In-house,,,,,
Tracylocke,Creative - Art Direction,Art Director,50000,USD,Female,African American,,2,USA,New York,,,,,,
Vaynermedia,Creative - Art Direction,Art Director,"60,000",,Male,Latino,Heterosexual,4,USA,New York City,In-house,,,,,
,Creative - Art Direction,Art Director,"78,000",,Female,Black,Heterosexual,5,USA,NYC,Agency,,,,,
360i,Creative - Art Direction,Art Director,85000,,Female,Black,Heterosexual,7,USA,NYC,In-house,,,,,
Havas,Creative - Art Direction,Art Director,"85,000",USD,Male,White,Heterosexual,6,USA,NYC,External,,,,,
,Creative - Art Direction,Art Director,55000,,,,,9,USA,Omaha,External,,,,,
,Creative - Art Direction,Art Director,"62,500.00",USD,Female,White,,9,USA,"Princeton, NJ",In-house,,,,,
GS&P,Creative - Art Direction,Art Director,"60,000",,Male,White,Heterosexual,1,USA,San Francisco,,,,,,
BBDO,Creative - Art Direction,Art Director,"$60,000",,Female,,,2,United States,San Francisco,,,,,,
Eleven Inc.,Creative - Art Direction,Art Director,"75,000",USD,,,,5,USA,San Francisco,In-house,,,,,
,Creative - Art Direction,Art Director,"$110,000",USD,Female,Asian,Heterosexual,5,USA,San Francisco,In-house,,,,,
,Creative - Art Direction,Art Director,52000,,Female,,,2,Canada,Toronto,External,,,,,
,Creative - Art Direction,Art Director,60000,,Male,Caucasian,,4,Canada,Toronto,External,,,,,
,Creative - Art Direction,Art Director,"$90,000",,Female,White,Heterosexual,10,Canada,Toronto,In-house,,,,,
,Creative - Art Direction,Art Director,"60,000",CAD,M,Filipino,Bi,3.5,Canada,Toronto,In-house,,,,,
Abacus,Creative - Art Direction,Art Director,"60,000",CAD,Male,White,Heterosexual,4.5,Canada,Toronto,External,,,,,
,Creative - Art Direction,Art Director,"80,000",CAD,Female,Hispanic,Heterosexual,5,Canada,Toronto,In-house,,,,,
,Creative - Art Direction,Art Director,"65, 000",,,,,2.5,Canada,Toronto,,,,,,
VMLY&R,Creative - Art Direction,Art Director,"18,500$",,Male,White,,3,Poland,Warsaw,In-house,,,,,
,Creative - Art Direction,Art Director,"65,000",USD,Female,White,Heterosexual,1.5,USA,Chicago,External,,,,,
MRM//Mccann,Creative - Art Direction,Art Director,68000,USD,Female,Asian,Heterosexual,3,USA,New York City,External,,,,,
,Creative - Art Direction,Art Director,"60,000",USD,Female,White,Heterosexual,6,USA,Phoenix,In-house,,,,,
,Creative - Art Direction,Art Director,"60,000",USD,Female,White,Heterosexual,2.5,USA,Boston,In-house,,,,,
The Richards Group,Creative - Art Direction,Art Director,"68,000",USD,Male,White,Heterosexual,9,USA,Dallas,External,,,,,
The Richards Group,Creative - Art Direction,Art Director,"68,000",USD,Male,White,Heterosexual,9,USA,Dallas,External,,,,,
The Richards group,Creative - Art Direction,Art director,88000,USD,Male,Asian,Heterosexual,9,USA,Dallas,,,,,,
Hero Digital,Creative - Art Direction,Art Director,95000,USD,Female,White,Queer,8,USA,Minneapolis,In-house,,,,,
FCB,Creative - Art Direction,Art Director,"74,500",USD,Cis male,White,Gay,4,USA,Chicago,External,,,,,
FCB,Creative - Art Direction,Art Director,"55,000",USD,Female,White,Heterosexual,3,USA,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"68,000",USD,Male,White,Gay,3,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Art Director,"€ 50,000",EUR,Male,Caucasian,Heterosexual,8,Ireland,Dublin,In-house,,,,,
,Creative - Art Direction,Art Director,"$70,000",USD,Female,Asian,Heterosexual,3,USA,"New York, NY",In-house,,,,,
,Creative - Art Direction,Art Director,85000,CAD,Men,,Heterosexual,10,Canada,Montreal,In-house,,,,,
Laughlin Constable,Creative - Art Direction,Art Director,"53,404",USD,Female,White,Heterosexual,5,USA,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"74,500",USD,Female,White,Heterosexual,9.5,USA,Boston,In-house,,,,,
In house,Creative - Art Direction,Art Director,"80,000",USD,Female,Latina,Heterosexual,5,USA,Chicago,In-house,,,,,
,Creative - Art Direction,Art Director,"85,000",USD,Female,Mixed Race,Bisexual,2.5,USA,New York City,External,,,,,
,Creative - Art Direction,Art Director,"79,000",USD,Female,White,Heterosexual,6,United States,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"110,000",USD,Male,White/Hispanic,Heterosexual,8,United States,Los Angeles,In-house,,,,,
K-Swiss,Creative - Art Direction,Art Director,89000,USD,,,Heterosexual,10,United States,Los Angeles,In-house,,,,,
,Creative - Art Direction,Art Director,"60,000",CAD,,,,4.5,Canada,Toronto,In-house,,,,,
DDFHB,Creative - Art Direction,Art Director,45000,EUR,Male,White,Heterosexual,5,Ireland,Dublin,In-house,,,,,
,Creative - Art Direction,Art Director,"65,000",USD,Woman,Latinx,Heterosexual,2,United States,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"90,000",USD,Female,White,Heterosexual,6,United States,Los Angeles,In-house,,,,,
,Creative - Art Direction,Art Director,60000,AUD,Male,White,Heterosexual,3.5,Australia,Sydney,In-house,,,,,
Recreation - Branding Agency,Creative - Art Direction,Art Director,"75,000",USD,Female,White,Queer,6,United States,San Francisco,,,,,,
Redbird,Creative - Art Direction,Art Director,"97,000",USD,Male,White,Heterosexual,12,United States,Los Angeles,,,,,,
Chemistry Agency,Creative - Art Direction,Art Director,57500,USD,Female,Asian,Heterosexual,1,United States,Atlanta,External,,,,,
,Creative - Art Direction,Art Director,85000,AUD,Female,White,Heterosexual,5,Australia,Sydney,External,,,,,
Deutsch,Creative - Art Direction,Art director,"75,000",USD,female,White,Heterosexual,2,United States,Los Angeles,,,,,,
Havas Atlanta,Creative - Art Direction,Art Director,"$75,000",USD,Cis Female,Black,Heterosexual,6.75,United States,Atlanta,In-house,,,,,
,Creative - Art Direction,Art Director,"45,000",Cad,Female,White,Heterosexual,3,Canada,Toronto,External,,,,,
,Creative - Art Direction,Art Director,28150,USD,Male,Indian,Heterosexual,3,Singapore,Singapore,In-house,1,,,,
,Creative - Art Direction,Art Director,"105,000",USD,,,Gay,3,United States,New York,External,7,,,,
,Creative - Art Direction,Art Director,"60,000",USD,F,Asian,Heterosexual,2.5,United States,Chicago,In-house,1,,,,
Grey Group,Creative - Art Direction,Art Director,"62,000",USD,Male,White,Heterosexual,1,United States,New York,External,2,,,,
,Creative - Art Direction,Art Director,"83,000",USD,Cis Male,White,Pansexual,12,United States,Detroit,External,5,,,,
Symphony Talent,Creative - Art Direction,Art Director,"$68,000",USD,Female,White,Bisexual,3,United States,New York,In-house,2,,,,
Droga5,Creative - Art Direction,Art Director,73000,USD,Female,Latinx,,3,United States,New York,External,3,No,5,3,3
,Creative - Art Direction,Art Director,"82,000",CAD,Female,White,Heterosexual,6.5,Canada,Toronto,In-house,5,Yes,,,10+
,Creative - Art Direction,Art DIrector,45000,GBP,M,White,Heterosexual,20,UK,London,In-house,6,No,0,0,0
PriceWeber,Creative - Art Direction,Art Director,85000,USD,Male,White,Heterosexual,8,United States,Louisville,External,8,Yes,3,0,5
,Creative - Art Direction,art director,"80,000",USD,male,Asian,,8,United States,Los Angeles,External,2,Yes,0,,
Leo Burnett,Creative - Art Direction,Art Director,"$65,000",USD,Male,White,Heterosexual,5,United States,Chicago,In-house,2,No,0,0,0
Hogarth WW,Creative - Art Direction,Art Director,"90,000",USD,,,,7,United States,New York,,2,No,0,0,0
,Creative - Art Direction,art director,74000,USD,female,,Queer,3,United States,San Francisco,External,3,No,0,0,4
,Creative - Art Direction,Art Director,"75,500",USD,Female,White,Heterosexual,4.5,United States,Portland,In-house,1,No,0,0,1
FCB,Creative - Art Direction,Art Director,"$67,500",USD,Female,White,Heterosexual,3,United States,Chicago,External,2,No,0,1,0
,Creative - Art Direction,Art Director,"85,000",CAD,Female,White,,3,Canada,Toronto,External,3,Yes,0,0,2
,Creative - Art Direction,Art director,"55,000",USD,Female,,,7,USA,Atlanta,,,,,,
,Creative - Art Direction,Art Director,"68,000",,Male,White,Heterosexual,5,USA,Austin,,,,,,
n/a,Creative - Art Direction,Art director,"75,000",,Female,White,,12,USA,"Fort Lauderdale, Florida",In-house,,,,,
,Creative - Art Direction,Art director,80000,,M,,,2,USA,LA,External,,,,,
,Creative - Art Direction,Art Director,"80,000",USD,Female,Asian,Heterosexual,6,USA,Los Angeles,In-house,,,,,
,Creative - Art Direction,Art Director,"$75,000",,Male,White,Heterosexual,5,USA,New York,External,,,,,
R/GA,Creative - Art Direction,Art director,"72,000",,,,,3,USA,New York,External,,,,,
,Creative - Art Direction,ART DIRECTOR,90000,,Male,White,Heterosexual,5,USA,New York,External,,,,,
Giant spoon,Creative - Art Direction,Art director,75,,Female,,,4,USA,New York City,External,,,,,
FCB,Creative - Art Direction,Art Director,"70,000",,Female,White,,1.5,USA,NYC,Agency,,,,,
,Creative - Art Direction,Art Director,"$80,000",AUD,Female,,,3,Australia,Sydney,In-house,,,,,
The Richards group,Creative - Art Direction,Art director,"108,000",USD,Male,Asian,Heterosexual,9,USA,Dallas,,,,,,
,Creative - Art Direction,Art Director,"45,000",,Female,,Bisexual,2.5,USA,Chicago,,,,,,
Cheil Worldwide India,Creative - Art Direction,Art director,"Rs. 50,000",Rupees,Female,South Asian,,3,India,New Delhi,In-house,,,,,
Popsockets,Creative - Art Direction,Art director,60000,USD,Male,Asian,Gay,3,USA,Denver,In-house,,,,,
Proximity WW,Creative - Art Direction,Art director,58000 eur/year,EUR,Male,,Heterosexual,6,Germany,Düsseldorf,In-house,,,,,
Proximity WW,Creative - Art Direction,Art director,58000 eur/year,EUR,Male,,Heterosexual,6,Germany,Düsseldorf,In-house,,,,,
,Creative - Art Direction,Art Director,"62,000",USD,Straight female,White,,4,USA,Chicago,External,,,,,
,Creative - Art Direction,Art Director,"53,000",USD,Female,White,Heterosexual,3,USA,New York City,External,,,,,
,Creative - Art Direction,Art Director,"53,000",USD,Female,White,Heterosexual,3,USA,New York City,External,,,,,
,Creative - Art Direction,Art Director,R$ 5.000,Reais,Male,White,Heterosexual,24,Brasil,São Paulo,In-house,,,,,
,Creative - Art Direction,Art Director,"63,000",USD,Female,White,Heterosexual,5,United States,Detroit,In-house,,,,,
Doner,Creative - Art Direction,Art Director,"63,000",USD,Female,White,Heterosexual,5,United States,Detroit,In-house,,,,,
,Creative - Art Direction,Art director,"100,000",USD,Female,White,Heterosexual,6,United States,New York,In-house,3,,,,
Fashion,Creative - Art Direction,Art director,"85,000",USD,Female,Black,Heterosexual,15,United States,New York,In-house,2,No,0,0,2
,Creative - Art Direction,Art Director (mid-level),98000,USD,Female,Asian,Queer,4,United States,San Francisco,,,,,,
FCB,Creative - Art Direction,Art Director MID,65000,,Male,Asian,Heterosexual,2,USA,Chicago,,,,,,
,Creative - Art Direction,Art Director Mid Level,"69,000",USD,Female,White,Heterosexual,2.5,USA,New York,External,,,,,
Edelman,Creative - Art Direction,Art Director/ Senior Visual Designer,105 000,USD,Male,Black,Heterosexual,10,USA,New York,In-house,,,,,
,Creative - Art Direction,Art director/designer,"60,500",,Female,White,,2.5,USA,"New York, NY",In-house,,,,,
Area 23,Creative - Art Direction,Art Supervisor,110000,,Female,White,Heterosexual,6,USA,New York,,,,,,
FCB Health,Creative - Art Direction,Art Supervisor,"120,000",,Male,White,Heterosexual,8,USA,NYC,External,,,,,
Independent Pharma agency,Creative - Art Direction,Art supervisor,"117,000",USD,Female,White,Heterosexual,11,United States,San Diego,,4,Yes,0,0,5
,Creative - Art Direction,Art Supervisor,"110,000",USD,,,Heterosexual,10,USA,New York,External,,,,,
Disney,Creative - Art Direction,Associate Art Director,"$80,000",,Female,White,Heterosexual,3,USA,Los Angeles California,In-house,,,,,
,Creative - Art Direction,Associate Art Director,"48,000",USD,Female,White,Heterosexual,2,USA,Chicago,,,,,,
,Creative - Art Direction,Associate Art Director,"48,000",USD,Female,White,Heterosexual,2,USA,Chicago,,,,,,
,Creative - Art Direction,Associate Art Director,"48,000",USD,Female,White,Heterosexual,2,USA,Chicago,,,,,,
,Creative - Art Direction,Associate Art Director,"47,500",USD,Male,White,Heterosexual,9,United States,New Orleans,External,4,No,2,3,8
Colle McVoy,Creative - Art Direction,Associate Art Director,40000,USD,Male,White,Heterosexual,1,United States,Minneapolis,,3,No,0,0,4
,Creative - Art Direction,Associate Creative,"58,500",USD,Male,White,Heterosexual,1.5,United States,New York,External,,,,,
,Creative - Art Direction,Associate Creative Director,90k,USD,female,Caucasian,,12,USA,"Boulder, CO",In-house,,,,,
,Creative - Art Direction,Associate Creative Director,"135,000",,Male,White,,14,USA,Chicago,External,,,,,
,Creative - Art Direction,Associate Creative Director,"95,000",USD,Female,Hwite,,8,USA,Chicago,External,,,,,
,Creative - Art Direction,Associate Creative Director,"$125,000",USD,Female,Asian,Heterosexual,9,USA,Chicago,External,,,,,
,Creative - Art Direction,Associate creative director,"130,000",USD,Male,Hispanic,Heterosexual,8,USA,Cjicago,,,,,,
Giant Spoon,Creative - Art Direction,Associate Creative Director,175000,USD,Female,Caucasian,Heterosexual,10,USA,Los Angeles,In-house,,,,,
Droga5,Creative - Art Direction,associate creative director,165000,,female,white,Heterosexual,15,USA,new york,,,,,,
McCann,Creative - Art Direction,Associate Creative Director,"142,000",,Male,White,Heterosexual,8,USA,New York,,,,,,
,Creative - Art Direction,Associate Creative Director,"145,000",,Male,,Heterosexual,4,USA,New York,External,,,,,
R/GA,Creative - Art Direction,Associate creative director,190000,USD,Male,,,15,USA,New york,In-house,,,,,
Ymly@r,Creative - Art Direction,Associate creative director,140000,,Frmale,White,Heterosexual,14,USA,New York,In-house,,,,,
IPG,Creative - Art Direction,Associate Creative Director,"150,000",,Female,,Heterosexual,11,USA,NYC,In-house,,,,,
Ogilvy,Creative - Art Direction,Associate Creative Director,"130,000",USD,Woman,Latin,,8,USA,NYC,,,,,,
,Creative - Art Direction,Associate Creative Director,"130,000",USD,male,white,Gay,8,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Associate Creative Director,"140,000",USD,Male,White,Heterosexual,7,USA,NYC,,,,,,
,Creative - Art Direction,Associate Creative Director,"100,000",USD,Female,White,Heterosexual,9,USA,Chicago,External,,,,,
Redpepper,Creative - Art Direction,Associate Creative Director,"92,500",USD,,,Heterosexual,15,USA,Nashville,In-house,,,,,
,Creative - Art Direction,Associate Creative Director,"95,000",USD,Female,,,9,USA,New York City,,,,,,
,Creative - Art Direction,Associate Creative Director,"138,000",USD,Male,White,Heterosexual,8,USA,Nashville,In-house,,,,,
Wunderman Thompson,Creative - Art Direction,Associate Creative Director,"140,000_",USD,Female,White,Heterosexual,8,USA,Los Angeles,,,,,,
Wunderman Thompson,Creative - Art Direction,Associate Creative Director,"140,000_",USD,Female,White,Heterosexual,8,USA,Los Angeles,,,,,,
BBDO,Creative - Art Direction,Associate Creative Director,"140,000",USD,Man,WHite,Bisexual,8,United States,Los Angeles,External,,,,,
Refinery29,Creative - Art Direction,Associate Creative Director,"130,000",USD,Female,Asian,Heterosexual,4,United States,New York,In-house,,,,,
Saatchi & Saatchi NY,Creative - Art Direction,Associate Creative Director,135,USD,female,Asian,,10,United States,New York,External,,,,,
,Creative - Art Direction,Associate Creative Director,"125,000",USD,,White,,12,United States,New York,In-house,,,,,
,Creative - Art Direction,Associate Creative Director,110000,USD,Male,White,Heterosexual,8,United States,Milwaukee,In-house,,,,,
,Creative - Art Direction,Associate Creative Director,140000,CAD,Male,Asian,Heterosexual,10,Canada,Toronto,External,,,,,
,Creative - Art Direction,Associate Creative Director,"155,000",USD,Male,White,Heterosexual,8,United States,Austin,External,,,,,
,Creative - Art Direction,Associate Creative Director,"120,000",USD,Female,,,15,United States,Austin,External,,,,,
Arnold,Creative - Art Direction,Associate Creative Director,"110,000",,Female,,,7,USA,Boston,,,,,,
Edelman,Creative - Art Direction,Associate creative director,"140,000",USD,Female,White,Heterosexual,11,USA,Chicago,External,,,,,
,Creative - Art Direction,Associate creative director,"140,000",,Female,White,Heterosexual,10,USA,Dallas,,,,,,
VMLY&R,Creative - Art Direction,Associate Design Director,"69,000",USD,Female,White,Heterosexual,10,United States,Kansas City,,,,,,
GREY MEXICO,Creative - Art Direction,ASSOCIATIVE CREATIVE ART DIRECTOR,19800,USD,MALE,Latinx,Gay,7,MEXICO,MEXICO CITY,In-house,4,No,1,1,4
yaya,Creative - Art Direction,CD,0,USD,M,,,12,USA,Los Angeles,External,,,,,
,Creative - Art Direction,Content Strategist,"65,000",Cad,Female,Asian (filipino and Chinese),,3,Canada,Toronto,In-house,,,,,
,Creative - Art Direction,Contract Junior Art Director,28/hr,USD,Cis female,White,Heterosexual,0.5,USA,Seattle,In-house,,,,,
,Creative - Art Direction,Creative,85000,USD,Woman,Asian,Bi,5,USA,Boulder,In-house,,,,,
,Creative - Art Direction,Creative,"30,000",GBP,Male,White British,,2,UK,London,External,,,,,
hasan & partners,Creative - Art Direction,Creative,60000,EUR,Male,White,Heterosexual,15,Finland,Helsinki,In-house,,,,,
One Green Bean / Havas,Creative - Art Direction,Creative,"£38,000",GBP,Male,White,Heterosexual,3,UK,London,External,1,Yes,,,1
Mccann london,Creative - Art Direction,Creative / art director,42000,GBP,,White,,4,UK,London,External,1,,5,8,10+
,Creative - Art Direction,Creative Designer,"57,000",USD,Female,White,Heterosexual,1.5,USA,"Chicago, IL",External,,,,,
Havas,Creative - Art Direction,Creative Director,"150,000",,Woman,White,Heterosexual,13,USA,Chicago,External,,,,,
,Creative - Art Direction,Creative Director,148k + bonuses,,,,,14,USA,Chicago,In-house,,,,,
,Creative - Art Direction,Creative Director,"125,000",USD,Female,White,Heterosexual,8,USA,Chicago,External,,,,,
n/a,Creative - Art Direction,Creative Director,"$140,000",,Female,Caucasian,Female,8,USA,Los Angeles,External,,,,,
"Agency in Nashville, TN",Creative - Art Direction,Creative Director,"70,720",USD,Female,White,Heterosexual,6,USA,"Nashville, TN",External,,,,,
Laird and Partners,Creative - Art Direction,Creative Director,215000,,female,white,Heterosexual,15,USA,new york,,,,,,
freelance,Creative - Art Direction,creative director,225000,USD,female,white,Heterosexual,15,USA,new york,freelance,,,,,
Wunderman Thompson,Creative - Art Direction,Creative Director,"150,000",USD,Female,White,,9,USA,New York,In-house,,,,,
Freelance,Creative - Art Direction,Creative Director,"250,000",,Male,Caucasian,Cis,10,USA,New York,Freenlance,,,,,
,Creative - Art Direction,Creative Director,"205,000",USD,Male,Hispanic,Heterosexual,13,USA,New York City,External,,,,,
,Creative - Art Direction,Creative Director,200000,USD,Male,White,Heterosexual,9,USA,New York City,External,,,,,
VaynerMedia,Creative - Art Direction,Creative Director,"190,000",USD,Female,White,Cis,10,USA,"New York, NU",,,,,,
VaynerMedia,Creative - Art Direction,Creative Director,"190,000",USD,Female,White,Cis,10,USA,"New York, NU",,,,,,
VaynerMedia,Creative - Art Direction,Creative Director,"190,000",USD,Female,White,Cis,10,USA,"New York, NU",,,,,,
,Creative - Art Direction,Creative Director,"210,000",USD,Male,Asian,Heterosexual,20,USA,San Francisco,In-house,,,,,
VMLY&R,Creative - Art Direction,Creative Director,"205,000",,Male,,,20,USA,New York,In-house,,,,,
,Creative - Art Direction,Creative Director,145000,USD,Male,White,Heterosexual,15,USA,Chicago,External,,,,,
McKinney,Creative - Art Direction,Creative director,"134,000",USD,Female,White,Heterosexual,15,USA,Durham,External,,,,,
,Creative - Art Direction,Creative Director,"160,000",USD,Female,African American,Heterosexual,13,USA,New York,External,,,,,
,Creative - Art Direction,Creative Director,"125,000",USD,Female,White,Heterosexual,9,USA,Atlanta,External,,,,,
,Creative - Art Direction,Creative Director,"230,000",USD,male,white,Heterosexual,20,United States,Los Angeles,External,,,,,
,Creative - Art Direction,Creative Director,"488,750",USD,Male,African American,Heterosexual,20,United States,Chicago,In-house,,,,,
HAVAS,Creative - Art Direction,CREATIVE DIRECTOR,250000,USD,MALE,White,Heterosexual,16,United States,New York,External,,,,,
mcgarrybowen,Creative - Art Direction,Creative Director,"$200,000.00",USD,Male,White,Heterosexual,22,United States,New York,In-house,,,,,
OMD,Creative - Art Direction,Creative Director,"$150,000.00",AUD,Female,White,Heterosexual,22,Australia,Sydney,In-house,,,,,
McCann NY,Creative - Art Direction,Creative Director,"175,000",USD,Male,White,Gay,13,United States,New York,External,,,,,
,Creative - Art Direction,Creative Director,"150,000",USD,Male,White,Heterosexual,12,United States,Stamford,External,,,,,
,Creative - Art Direction,Creative Director,"250,000",USD,Male,Latinx,Heterosexual,15,United States,New York,In-house,,,,,
,Creative - Art Direction,Creative Director,180k,USD,M,White,Heterosexual,18,United States,Austin,External,,,,,
BLXCK MKT,Creative - Art Direction,Creative Director,"98,000",USD,Female,Black,Heterosexual,5,United States,Atlanta,In-house,,,,,
Droga5,Creative - Art Direction,Creative Director,"216,000",USD,Female,White,,16,United States,New York,External,,,,,
MullenLowe,Creative - Art Direction,Creative director,360000,AED,Male,White,Heterosexual,16,United Arab Emirates,Dubai,In-house,,,,,
